"mietekalt","qm_Preis","wohnflaeche","alter","objektzustand","zimmeranzahl","balkon","einbaukueche","keller","ausstattung","ausstattung_kat","aufzug","gaestewc","garten","heizungsart","barrierefrei","Einstellungsdatum","Einstellungsmonat"
445,7.29508209228516,61,42,7,2,1,1,1,1,2,0,0,0,13,0,2019-01-01,"01"
490,7.31343269348145,67,52,7,2,1,0,1,1,1,1,0,0,NA,1,2019-01-01,"01"
380,7.59999990463257,50,NA,NA,2,1,0,1,1,1,0,0,1,3,0,2019-07-01,"07"
625,7.8125,80,50,NA,3.5,1,0,1,0,0,0,0,0,13,0,2019-11-01,"11"
344.4,8.60999965667725,40,52,NA,1,1,0,1,0,0,1,0,0,13,0,2019-12-01,"12"
520,7.76119422912598,67,38,5,2,1,0,1,0,0,0,0,0,3,0,2019-06-01,"06"
690,10,69,NA,2,3,1,1,1,1,2,0,0,1,4,0,2019-04-01,"04"
805,10.0074586868286,80.4400024414062,15,3,3,1,1,1,1,2,0,0,1,13,0,2019-09-01,"09"
340,8.5,40,50,5,2,0,1,0,1,1,0,0,0,13,0,2019-04-01,"04"
193,5.30803060531616,36.3600006103516,70,NA,2,0,0,1,0,0,0,0,0,3,0,2019-04-01,"04"
525,6.73076915740967,78,64,7,3,1,1,1,1,1,1,0,0,13,0,2019-02-01,"02"
479,6.56794166564941,72.9300003051758,49,7,3.5,1,0,0,0,0,1,0,0,NA,0,2019-05-01,"05"
650,7.92682933807373,82,84,8,4,0,0,0,0,0,0,0,0,6,0,2019-07-01,"07"
400,7.27272748947144,55,60,7,2,0,1,0,1,1,0,0,0,13,0,2019-01-01,"01"
834,11.0026378631592,75.8000030517578,1,1,3,1,1,1,0,0,1,0,0,NA,0,2019-07-01,"07"
650,8.63213729858398,75.3000030517578,49,NA,3,0,0,0,0,0,0,0,0,NA,0,2019-01-01,"01"
560,9.33333301544189,60,NA,NA,2,0,1,1,1,1,0,0,1,4,0,2019-07-01,"07"
317.28,4.57637357711792,69.3300018310547,22,NA,2,1,0,0,0,0,1,0,0,13,1,2018-11-01,"11"
620,7.46987962722778,83,NA,7,3,1,0,0,0,0,0,0,0,6,0,2019-01-01,"01"
630,10,63,NA,4,3,0,0,0,0,0,0,0,0,4,0,2019-04-01,"04"
280,14,20,65,NA,1,0,1,0,0,0,0,0,0,13,0,2019-03-01,"03"
390,10.2631578445435,38,NA,NA,2,1,1,1,0,0,0,0,0,NA,0,2019-10-01,"10"
525,8.76314449310303,59.9099998474121,62,NA,2.5,1,0,1,0,0,0,0,0,13,0,2019-12-01,"12"
429,6.703125,64,61,7,3,1,0,0,0,0,0,0,0,NA,0,2019-02-01,"02"
700,7.21649503707886,97,55,NA,4,1,0,1,0,0,0,1,0,4,0,2019-12-01,"12"
